PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,AC50_Qualifier,AC50_uM,pAC50_M,ACTIVITY_OUTCOME_TEST1,ACTIVITY_SCORE_TEST1,ASSAYDATA_COMMENT_TEST1,AC50_Qualifier_TEST1,AC50_uM_TEST1,pAC50_M_TEST1,Hill_Slope_TEST1,S0_(%)_TEST1,Sinf_(%)_TEST1,Num_Points_TEST1,Max_Activity_(%)_TEST1,Max_Activity_Conc_uM_TEST1,Max_Concentration_uM_TEST1,Activity_at_0.26uM_(%)_TEST1,Activity_at_0.5uM_(%)_TEST1,Activity_at_1uM_(%)_TEST1,Activity_at_2.1uM_(%)_TEST1,Activity_at_4.2uM_(%)_TEST1,Activity_at_8uM_(%)_TEST1,Activity_at_16uM_(%)_TEST1,Activity_at_35uM_(%)_TEST1,ACTIVITY_OUTCOME_TEST2,ACTIVITY_SCORE_TEST2,ASSAYDATA_COMMENT_TEST2,AC50_Qualifier_TEST2,AC50_uM_TEST2,pAC50_M_TEST2,Hill_Slope_TEST2,S0_(%)_TEST2,Sinf_(%)_TEST2,Num_Points_TEST2,Max_Activity_(%)_TEST2,Max_Activity_Conc_uM_TEST2,Max_Concentration_uM_TEST2,Activity_at_0.235uM_(%)_TEST2,Activity_at_0.26uM_(%)_TEST2,Activity_at_0.285uM_(%)_TEST2,Activity_at_0.46uM_(%)_TEST2,Activity_at_0.5uM_(%)_TEST2,Activity_at_0.56uM_(%)_TEST2,Activity_at_0.9uM_(%)_TEST2,Activity_at_1uM_(%)_TEST2,Activity_at_1.1uM_(%)_TEST2,Activity_at_1.8uM_(%)_TEST2,Activity_at_1.95uM_(%)_TEST2,Activity_at_2.1uM_(%)_TEST2,Activity_at_2.35uM_(%)_TEST2,Activity_at_3.8uM_(%)_TEST2,Activity_at_4.2uM_(%)_TEST2,Activity_at_4.6uM_(%)_TEST2,Activity_at_7.5uM_(%)_TEST2,Activity_at_8uM_(%)_TEST2,Activity_at_9uM_(%)_TEST2,Activity_at_15uM_(%)_TEST2,Activity_at_16uM_(%)_TEST2,Activity_at_18uM_(%)_TEST2,Activity_at_30uM_(%)_TEST2,Activity_at_35uM_(%)_TEST2
RESULT_TYPE,,,,,,,,STRING,FLOAT,STRING,INTEGER,INTEGER,STRING,STRING,FLOAT,STRING,FLOAT,FLOAT,FLOAT,INTEGER,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,INTEGER,INTEGER,STRING,STRING,FLOAT,STRING,FLOAT,FLOAT,FLOAT,INTEGER,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT
RESULT_DESCR,,,,,,,,"'>','=', or '<'",The concentration at which activity reaches 50% of the maximum,Equal to -1*log10(AC50),The PubChem Activity Outcome for the subset of data included in the indicated Test number.,The PubChem Activity Score for the subset of data included in the indicated Test number.,Comments relevant to the subset of data included in the indicated Test number.,"'>','=', or '<'",The concentration at which activity reaches 50% of the maximum,Equal to -1*log10(AC50),The slope at AC50,The fitted activity value at zero concentration,The fitted activity value at infinite concentration,The number of data points used to generate the plot,"The maximum activity value observed, based on mean of replicates per concentration",The concentration at which the maximum activity is observed,Maximum valid test concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The PubChem Activity Outcome for the subset of data included in the indicated Test number.,The PubChem Activity Score for the subset of data included in the indicated Test number.,Comments relevant to the subset of data included in the indicated Test number.,"'>','=', or '<'",The concentration at which activity reaches 50% of the maximum,Equal to -1*log10(AC50),The slope at AC50,The fitted activity value at zero concentration,The fitted activity value at infinite concentration,The number of data points used to generate the plot,"The maximum activity value observed, based on mean of replicates per concentration",The concentration at which the maximum activity is observed,Maximum valid test concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration
RESULT_UNIT,,,,,,,,NONE,MICROMOLAR,NONE,NONE,NONE,NONE,NONE,MICROMOLAR,NONE,NONE,PERCENT,PERCENT,NONE,PERCENT,MICROMOLAR,MICROMOLAR,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,NONE,NONE,NONE,NONE,MICROMOLAR,NONE,NONE,PERCENT,PERCENT,NONE,PERCENT,MICROMOLAR,MICROMOLAR,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RESULT_ATTR_CONC_MICROMOL,,,,,,,,,,,,,,,,,,,,,,,,0.26,0.5,1,2.1,4.2,8,16,35,,,,,,,,,,,,,,0.235,0.26,0.285,0.46,0.5,0.56,0.9,1,1.1,1.8,1.95,2.1,2.35,3.8,4.2,4.6,7.5,8,9,15,16,18,30,35
1,85148905,44144099,CC1=CC=C(C=C1)CNC(=O)N2[C@H]3CC[C@@H]2C(=C(C3)C4=C(C=C(C=C4)F)OCC5=CC=CC=C5)C(=O)OC,Active,48,,,=,15.13,4.82,2,48,,=,15.13,4.82,2.669,-6.504,-100,15,-101.899,35,35,-3.5,-7.099,-7.975,-3.608,-12.61,-23.971,-52.89,-101.899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,56315011,24978754,CCN(CC(=O)NC1=C(C=CC=C1F)F)C(=O)C2=C(C=CC(=C2)S(=O)(=O)N(C)C)N3CCCC3,Active,51,,,=,7.72,5.112,2,51,,=,7.72,5.112,1.964,-4.583,-100,16,-96.13,35,35,-8.795,-2.793,-2.115,-15.343,-23.931,-56.213,-79.815,-96.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,56320683,220401,CN[C@H]1CCC2=CC(=C(C(=C2C3=CC=C(C(=O)C=C13)OC)OC)OC)OC,Active,66,,,<,0.26,6.585,2,66,,<,0.26,6.585,1.309,0,-115.601,16,-116.774,16,35,-82.285,-98.241,-109.095,-112.742,-111.655,-115.792,-116.774,-115.377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,24808858,3161521,CCC(=O)N1CCN(CC1)C2=C(C=C(C=C2)NC(=O)C3=CC=C(O3)[N+](=O)[O-])Cl,Active,54,,,=,4.12,5.385,2,54,,=,4.12,5.385,2.399,0.302,-122.484,15,-120.887,16,35,-6.095,7.088,-4.909,-20.055,-62.958,-100.164,-120.887,-119.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,17511602,5552985,CCOC1=CC2=C(N=C(N=C2C=C1)N/C(=N/C(=S)NC3=CC(=C(C=C3)C)C)/N)C,Inactive,0,,,,,,1,0,,>,70,4.155,0.5,10.255,-100,16,-14.013,35,35,9.46,3.483,8.762,1.64,-3.506,-5.53,-9.863,-14.013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,26665554,9566818,C1=CC=C2C(=C1)N=C(S2)N/N=C/C3=CC=CC=N3,Active,55,,,=,3.32,5.479,2,55,,=,3.32,5.479,3.356,16.678,-126.919,12,-128.277,35,35,12.614,20.485,,,-82.305,-119.653,-124.879,-128.277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,49734493,16453200,CC(=O)NC1=CC=C(C=C1)NC(=O)C2=NC(=NC=C2Cl)S(=O)(=O)CC3=CC=CC=C3,Active,50,,,=,9.86,5.006,2,50,,=,9.86,5.006,4,11.041,-100,12,-95.708,16,16,6.306,14.126,9.118,11.971,9.511,-17.767,-95.708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,858166,6885082,COC1=C(C=CC(=C1)/C=N/O)OCC2=CC=C(C=C2)C(=O)O,Active,52,,,=,5.79,5.237,2,52,,=,5.79,5.237,4,25,-100,12,-119.523,35,35,,,106.01,65.52,7.451,-81.801,-109.479,-119.523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,49716750,15994961,CC1=CC(=C(C=C1)C)N2CCN(CC2)C(=O)CCCCCN3C(=O)C4=C(C=CC(=C4)N5CCOCC5)NC3=S,Active,52,,,=,5.97,5.224,2,52,,=,5.97,5.224,2.02,7.744,-121.881,16,-115.634,35,35,7.659,9.12,4.82,-11.5,-32.04,-74.827,-110.404,-115.634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,24841212,4879810,C1C(=O)NC2=CC=CC=C2N1C(=O)CN3C(=O)C(=C(C=N3)Cl)Cl,Active,57,,,=,2.19,5.66,2,57,,=,2.19,5.66,1.855,-23.839,-120.079,16,-118.9,8,35,-21.868,-34.239,-41.779,-69.905,-94.84,-118.9,-116.192,-117.158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,99359887,44631078,C#CC1=NC2=CC(=NN2C(=C1)N3CCN(CC3)C(=O)C4=COC=C4)C5=CC(=CC=C5)Cl,Active,54,,,=,3.79,5.421,2,54,,=,3.79,5.421,3.064,-11.124,-134.745,15,-132.364,16,35,-12.488,-7.149,-14.704,-32.204,-78.473,-129.839,-132.364,-131.415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,49822191,8272034,C1=CC=C2C(=C1)C(=O)N(S2(=O)=O)CC(=O)C3=C(C=C(C=C3)Cl)Cl,Active,55,,,=,2.93,5.533,2,55,,=,2.93,5.533,1.389,15.157,-126.313,15,-122.179,35,35,8.444,6.453,-10.731,-39.61,-74.779,-95.158,-115.162,-122.179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,47203274,3128208,C1=CC(=CC(=C1)O)NC2=C(C3=NON=C3C(=C2)Cl)[N+](=O)[O-],Active,51,,,=,7.24,5.14,2,51,,=,7.24,5.14,3.794,1.693,-134.238,16,-131.71,35,35,0.532,5.514,3.298,-3.751,-14.033,-78.225,-130.552,-131.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,92764376,45280988,C=CC(=O)N1C/C(=C/C2=CC=C(C=C2)Cl)/C(=O)/C(=C\C3=CC=C(C=C3)Cl)/C1,Active,57,,,=,1.82,5.74,2,57,,=,1.82,5.74,1.756,22.136,-125.321,13,-129.369,35,35,12.572,15.598,-18.756,,-99.755,-105.983,-119.844,-129.369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,49819753,4910744,CN1C2=C(C=C(C=C2)NS(=O)(=O)C3=CC=C(C=C3)Cl)N=C1CCN4CCN(CC4)C5=CC=CC=N5,Active,51,,,=,8.15,5.089,2,51,,=,8.15,5.089,3.307,15.141,-100,14,-93.234,16,16,18.97,14.77,18.325,9.038,0.095,-37.709,-93.234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,56320524,2538553,CC1=CC=C(C=C1)C2=CSC3=C2C(=NC=N3)SC4=NN=C(O4)CN5CCCCCC5=O,Active,53,,,=,5,5.301,2,53,,=,5,5.301,2.699,-25,-137.299,14,-136.333,35,35,,-18.793,-29.05,-43.191,-61.791,-118.142,-130.39,-136.333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,51088184,1342143,COC1=CC=CC=C1N2CCN(CC2)CC3=CC(=C(C4=C3C=CC=N4)O)Br,Active,57,,,=,1.82,5.74,2,57,,=,1.82,5.74,1.277,15.443,-106.263,15,-104.369,35,35,3.612,-0.893,-21.631,-60.896,-72.404,-88.18,-100.185,-104.369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,99357377,46903218,CC1=CC=C(C=C1)S(=O)(=O)N(CC#C)C[C@@H]2[C@H]([C@H](CN3N2C(=O)C=CC3=O)OC(=O)NCC4=CC(=C(C=C4)OC)OC)OC(=O)NCC5=CC(=C(C=C5)OC)OC,Active,54,,,=,3.91,5.408,2,54,,=,3.91,5.408,4,7.146,-100,12,-97.531,35,35,5.727,7.503,8.262,0,-53.988,-95.957,-96.408,-97.531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,24791955,6465812,CCOC1=CC=C(C=C1)NC(=O)NC2=CC=CC(=C2)C(=O)O,Active,54,,,=,3.85,5.415,2,54,,=,3.85,5.415,2.053,25,-126.181,12,-126.87,35,35,,,33.943,-19.24,-53.279,-98.258,-117.06,-126.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,49735779,20920428,CC1=CC(=CC=C1)CNC(=O)C2CCN(CC2)C3=NN=C(C4=C(N(N=C43)C5=CC=C(C=C5)OC)C)C,Active,53,,,=,5.58,5.253,2,53,,=,5.58,5.253,3.343,4.75,-129.356,16,-129.089,35,35,6.064,6.867,7.269,-8.688,-29.495,-100.4,-124.442,-129.089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,17512329,916344,C1=CC2=NC(=CN2C=C1)CSC3=NC4=C(N3)C=C(C=C4)[N+](=O)[O-],Inactive,0,,,,,,1,0,,,,,,1.476,100,15,43.608,35,35,1.834,6.497,-1.944,3.85,10.374,13.508,26.401,43.608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,24812872,6861939,C1=CC=C(C=C1)/C=C(/C=N/N2C=NN=C2)\Br,Active,54,,,=,3.84,5.416,2,54,,=,3.84,5.416,2.493,-8.22,-130.742,15,-132.116,35,35,-4.025,-14.308,-11.615,-29.722,-76.526,-114.545,-124.821,-132.116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,92763919,340916,CC(=C)C1=NC(=NC(=N1)OC2=CC=CC=C2)OC3=CC=CC=C3,Active,55,,,=,3.04,5.517,2,55,,=,3.04,5.517,2.148,-6.35,-126.11,16,-122.357,35,35,-4.778,-8.934,-18.614,-44.869,-81.04,-120.18,-122.166,-122.357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,85146197,44142141,CN1C(=NN=N1)SC2=NC=NC3=C2C(=CS3)C4=CC5=C(C=C4)OCO5,Active,61,,,=,0.747,6.127,2,61,,=,0.747,6.127,0.744,0,-100,12,-99.226,8,8,-35.416,-41.979,-55.305,-61.682,-72.409,-99.226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,85146184,26471808,CN1C(=NN=N1)SC2=NC=NC3=C2C(=CS3)C4=CC=C(C=C4)OC,Active,53,,,=,4.92,5.308,2,53,,=,4.92,5.308,1.35,-20.828,-100,12,-74.612,8,8,-20.795,-25.533,-29.216,-41.358,-53.485,-74.612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,85146201,44142145,CN1C(=NN=N1)SC2=NC=NC3=C2C(=CS3)C4=CC=CC5=C4SC6=CC=CC=C56,Active,54,,,=,3.89,5.41,2,54,,=,3.89,5.41,1.538,-22.329,-100,13,-106.506,16,16,-19.546,-27.335,-33.355,-46.032,-59.724,-78.513,-106.506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,22408165,2482544,CCCNC(=O)COC1=NC2=CC=CC=C2N=C1N3CCOCC3,Inactive,0,,,,,,1,0,,>,70,4.155,1.548,3.597,-100,16,-14.717,35,35,5.274,3.653,1.919,4.356,2.026,-0.041,-1.33,-14.717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,81066244,25068388,COC(=O)C1=C(C[C@@H]2CC[C@H]1N2C(=O)NC3CC4=CC=CC=C4C3)C5=C(C=C(C=C5)F)OCC6=CC=CC=C6,Active,50,,,=,9.27,5.033,2,50,,=,9.27,5.033,3.236,2.783,-122.397,16,-118.911,35,35,8.052,1.942,3.788,-0.961,-10.662,-42.387,-107.085,-118.911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,22400821,15944722,CC1=CC(=C2C(=C1)N=C(S2)NNC(=O)C3=CC=C(C=C3)S(=O)(=O)N4CCC5=CC=CC=C5C4)C,Active,56,,,=,2.27,5.644,2,56,,=,2.27,5.644,2.503,4.734,-114.963,15,-122.186,35,35,-1.466,5.371,-0.092,-52.467,-93.252,-104.084,-111.924,-122.186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,26728274,2821421,C1=CSC(=C1)S(=O)(=O)C2=NC=CN=C2C#N,Active,53,,,=,4.59,5.338,2,53,,=,4.59,5.338,3.675,4.972,-132.161,13,-132.18,16,35,0.956,7.394,6.074,,-52.802,-115.998,-132.18,-131.008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,22403915,2899800,CCOC1=CC=C(C=C1)C(=O)C2=C(C=CC(=C2)[N+](=O)[O-])N3CCOCC3,Active,66,,,<,0.26,6.585,2,66,,<,0.26,6.585,1.028,0,-120.042,15,-122.068,35,35,-77.794,-91.729,-108.259,-112.725,-114.088,-116.662,-119.091,-122.068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,24783554,16188167,CC1=NOC(=C1)CN(C)C(=O)C2=NOC(=C2)COC3=CC4=C(C=C3)N=CC=C4,Inactive,0,,,,,,1,0,,,,,,-13.8721,-13.8721,14,-23.989,8,35,-6.99,-4.57,-10.431,-15.268,-19.463,-23.989,-18.44,-12.235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,49669494,6351925,CCN(CC)C1=CC=C2C(=CC1=O)[C@H](CCC3=CC(=C(C(=C32)OC)OC)OC)NC,Active,55,,,=,2.9,5.538,2,55,,=,2.9,5.538,1.647,14.016,-114.639,15,-110.452,35,35,12.65,5.374,-1.659,-37.662,-65.11,-96.062,-109.597,-110.452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,22405016,1811569,C1=CC=C(C=C1)C(=O)CCC(=O)NCCC2=CNC3=CC=CC=C32,Inactive,0,,,,,,1,0,,>,70,4.155,0.808,6.622,-100,16,-7.357,35,35,6.193,5.378,8.515,1.971,5.74,0.571,-0.205,-7.357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,99456595,46943953,COC1=C(C=C(C=C1)F)C2=CN3C(=CN=C3C(=C2)NC=O)C4=CC(=C(C(=C4)OC)OC)OC,Active,55,,,=,3.49,5.457,2,55,,=,3.49,5.457,1.051,25,-100,12,-69.473,8,8,19.39,19.01,-13.124,-22.025,-33.246,-69.473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,85273781,62770,C[C@H]1[C@H]([C@H](C[C@@H](O1)O[C@H]2C[C@@](CC3=C2C(=C4C(=C3O)C(=O)C5=C(C4=O)C(=CC=C5)OC)O)(C(=O)C)O)N)O.Cl,Active,58,,,=,1.55,5.81,2,58,,=,1.55,5.81,2.622,-25,-125.322,14,-125.353,8,35,-27.378,-31.107,-48.684,,-118.484,-125.353,-125.353,-123.737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,87337131,4094710,CCN(CC)S(=O)(=O)C1=CC=CC(=C1)NC(=O)NC2=CC=CC(=C2)C(F)(F)F,Active,48,,,=,14.86,4.828,2,48,,=,14.86,4.828,3.092,-9.353,-100,12,-21.047,8,8,-7.107,-7.007,-12.038,-12.143,-10.425,-21.047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,22405006,3892980,CC1=CN=C(S1)NC(=O)CSC2=NN=C(N2N)C,Inactive,0,,,,,,1,0,,,,,,2.04033,2.04033,15,7.113,0.26,35,7.113,4.826,1.89,4.076,-0.948,-0.373,-1.994,-0.284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,26731878,16746083,C1=CC(=CC(=C1)Cl)NC2=NC=NC(=C2)C3=NC(=NC=C3)NCCCO,Active,56,,,=,2.7,5.569,2,56,,=,2.7,5.569,2.456,22.852,-125.41,13,-123.156,35,35,20.187,22.232,16.784,-32.441,-78.943,-121.459,-122.711,-123.156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,24808744,1371655,C1=CC(=CC(=C1)Br)/C=C\2/C(=O)N(C(=S)S2)CCCC(=O)NC3=CN=CC=C3,Active,51,,,=,8.92,5.05,2,51,,=,8.92,5.05,4,6.787,-131.808,12,-132.461,35,35,10.601,0.29,-2.807,8.244,6.51,-49.855,-118.057,-132.461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,24800986,764129,C1=CC=C(C=C1)/C=C/C(=O)NC2=CC=CC(=C2)C(=O)O,Active,54,,,=,4.06,5.391,2,54,,=,4.06,5.391,4,25,-100,12,-122.421,35,35,,,98.047,34.438,-45.217,-89.698,-106.388,-122.421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,17516817,2309618,CC1=CC=CC=C1N=C2C3=CC=CC=C3C(=N2)N,Active,48,,,=,17.25,4.763,2,48,,=,17.25,4.763,4,0.381,-100,13,-42.735,16,16,-1.848,3.635,3.273,-3.746,-1.946,-0.035,-42.735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,85146195,44142139,CN1C(=NN=N1)SC2=NC=NC3=C2C(=CS3)C4=CC=C(C=C4)[N+](=O)[O-],Active,56,,,=,2.57,5.59,2,56,,=,2.57,5.59,3.174,-22.555,-130.409,13,-130.723,35,35,-10.569,-24.727,-33.822,-56.828,-114.397,-125.491,,-130.723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,87345638,6865722,COC1=CC=C(C=C1)/C=N/NC(=O)C2=C(C3=C(N2)C=CC(=C3)Br)C4=CC=CC=C4,Active,63,,,<,0.5,6.301,2,63,,<,0.5,6.301,1.572,0,-110.294,14,-114.115,35,35,,-78.797,-98.81,-105.834,-106.993,-105.963,-111.031,-114.115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,49824126,25237200,CC(=O)OC1=C(C=C(C=C1OC)/C=N\NC(=O)C2=CC=C(C=C2)C3=CC=CC=C3)OC,Active,61,,,=,0.728,6.138,2,61,,=,0.728,6.138,1.039,0,-100,12,-100.718,8,8,-22.856,-47.141,-55.686,-68.938,-86.408,-100.718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,24785875,487737,COC1=CC=C(C=C1)NC(=O)C2=C(C=CC(=C2)[N+](=O)[O-])O,Active,53,,,=,5.39,5.268,2,53,,=,5.39,5.268,4,25,-100,12,-122.263,35,35,,,158.222,70.545,-16.253,-74.506,-108.713,-122.263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,51088780,7202555,C1=CC=C(C=C1)S(=O)(=O)CCC(=O)NC2=NC3=C(S2)C=C(C=C3)F,Active,55,,,=,3.55,5.45,2,55,,=,3.55,5.45,1.535,-2.925,-131.138,16,-124.001,35,35,-2.383,-10.665,-20.712,-43.76,-70.84,-105.015,-123.251,-124.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,99357309,46903150,C1CC1C2=CN(N=N2)[C@H]3C[C@@H](N(C[C@@H]3O)C(=O)C4=CC=CS4)C5=CC=CC=C5,Inactive,0,,,,,,1,0,,,,,,-19.4629,-19.4629,16,-24.138,35,35,-23.482,-16.45,-12.763,-22.381,-16.374,-22.089,-18.027,-24.138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,26726873,2815177,COC1=CC=C(C=C1)C(=O)CN2C(=O)C3=CC=CC=C3S2(=O)=O,Active,55,,,=,3.53,5.452,2,55,,=,3.53,5.452,1.275,19.744,-127.566,15,-117.618,35,35,19.607,2.205,-4.892,-27.465,-61.111,-89.318,-112.253,-117.618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,49667583,1343560,C1=CC=C(C(=C1)/C=C\2/C(=O)N(C(=S)S2)CCC(=O)NC3=CC=CC=C3C(=O)O)Cl,Inactive,0,,,,,,1,0,,>,70,4.155,0.84,0.976,-100,15,-21.032,35,35,-5.57,2.205,4.986,0.477,-2.779,-7.777,-16.226,-21.032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,49649165,6623618,CN(C)CCNC(=O)C1=CC2=C(S1)C3=C(C=C(C=C3)Cl)SC2,Active,50,,,=,9.29,5.032,2,50,,=,9.29,5.032,4,3.047,-137.373,15,-135.001,35,35,5.458,2.849,2.564,1.175,-3.287,-45.5,-125.573,-135.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,49719604,20959061,CC1=C(C(=CC=C1)C)NS(=O)(=O)C2=CC=C(C=C2)C3=CN=C(O3)C4CC4,Active,58,,,=,1.74,5.759,2,58,,=,1.74,5.759,1.082,-13.86,-125.932,15,-121.663,35,35,-26.644,-37.158,-52.336,-79.01,-93.856,-107.401,-117.185,-121.663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,51090288,242436,CC(=O)N[C@H]1CCC2=CC(=C(C(=C2C3=C1C=C(C=C3)O)OC)OC)OC,Active,64,,,=,0.37,6.432,2,64,,=,0.37,6.432,1.456,0,-112.745,16,-114.322,16,35,-43.361,-66.099,-93.792,-104.149,-108.557,-110.308,-114.322,-112.022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,51087203,7254308,CC1=C(SC(=N1)NC(=O)CCS(=O)(=O)C2=CC=C(C=C2)Cl)C(=O)C,Active,53,,,=,5.01,5.3,2,53,,=,5.01,5.3,1.947,-10.199,-100,13,-86.032,16,16,-2.149,-14.774,-21.787,-21.418,-45.272,-78.254,-86.032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
